Interface 22: Description=FastEthernet0/1.9  Type=135  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d9  adminStatus=1  operStatus=1  LastChange=0:00:47.63  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=138  outUcast=0  outDiscards=0  outErrors=0
Interface 23: Description=FastEthernet0/1.11  Type=135  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d9  adminStatus=1  operStatus=1  LastChange=0:00:47.66  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=138  outUcast=0  outDiscards=0  outErrors=0
Interface 24: Description=FastEthernet0/1.12  Type=135  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d9  adminStatus=1  operStatus=1  LastChange=0:00:47.69  inOctets=481988663  inUcast=3343611  inDiscards=0  inErrors=0  inUnknown=0  outOctets=807278098  outUcast=3365529  outDiscards=0  outErrors=0
Interface 25: Description=FastEthernet0/1.13  Type=135  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d9  adminStatus=1  operStatus=1  LastChange=0:00:47.72  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=138  outUcast=0  outDiscards=0  outErrors=0
Interface 26: Description=Virtual-Template1  Type=131  MTU=1514  Speed=9000  PhysAdress=  adminStatus=1  operStatus=2  LastChange=0:00:49.06  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=0  outUcast=0  outDiscards=0  outErrors=0
Interface 27: Description=Vlan2  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d8  adminStatus=1  operStatus=1  LastChange=12 days, 23:32:02.38  inOctets=879336  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=1152118  outUcast=14965  outDiscards=3  outErrors=0
Interface 28: Description=Vlan111  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d8  adminStatus=1  operStatus=1  LastChange=12 days, 23:32:03.02  inOctets=879336  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=1152118  outUcast=14965  outDiscards=3  outErrors=0
Interface 29: Description=Vlan112  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d8  adminStatus=1  operStatus=2  LastChange=0:00:48.09  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=1151518  outUcast=14955  outDiscards=3  outErrors=0
Interface 30: Description=Virtual-Access1  Type=23  MTU=1500  Speed=100000000  PhysAdress=  adminStatus=1  operStatus=2  LastChange=0:00:51.75  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=0  outUcast=0  outDiscards=0  outErrors=0
Interface 37: Description=FastEthernet0/1.14  Type=135  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d9  adminStatus=1  operStatus=1  LastChange=94 days, 3:15:31.74  inOctets=297191  inUcast=69694  inDiscards=139674  inErrors=149774  inUnknown=898589570  outOctets=584477348  outUcast=6402756  outDiscards=0  outErrors=0
